,Unnamed: 0,campfilename,monthyear,date,total_clients,cmy
0,0,Andravida_GRE_004,42016,2016-04-01,0,Andravida_GRE_004042016
1,1,Andravida_GRE_004,42016,2016-04-02,0,Andravida_GRE_004042016
2,2,Andravida_GRE_004,42016,2016-04-03,0,Andravida_GRE_004042016
3,3,Andravida_GRE_004,42016,2016-04-04,0,Andravida_GRE_004042016
4,4,Andravida_GRE_004,42016,2016-04-05,0,Andravida_GRE_004042016
5,5,Andravida_GRE_004,42016,2016-04-06,0,Andravida_GRE_004042016
6,6,Andravida_GRE_004,42016,2016-04-07,0,Andravida_GRE_004042016
7,7,Andravida_GRE_004,42016,2016-04-08,0,Andravida_GRE_004042016
8,8,Andravida_GRE_004,42016,2016-04-09,0,Andravida_GRE_004042016
9,9,Andravida_GRE_004,42016,2016-04-10,0,Andravida_GRE_004042016
10,10,Andravida_GRE_004,42016,2016-04-11,0,Andravida_GRE_004042016
11,11,Andravida_GRE_004,42016,2016-04-12,0,Andravida_GRE_004042016
12,12,Andravida_GRE_004,42016,2016-04-13,0,Andravida_GRE_004042016
13,13,Andravida_GRE_004,42016,2016-04-14,0,Andravida_GRE_004042016
14,14,Andravida_GRE_004,42016,2016-04-15,0,Andravida_GRE_004042016
15,15,Andravida_GRE_004,42016,2016-04-16,0,Andravida_GRE_004042016
16,16,Andravida_GRE_004,42016,2016-04-17,0,Andravida_GRE_004042016
17,17,Andravida_GRE_004,42016,2016-04-18,0,Andravida_GRE_004042016
18,18,Andravida_GRE_004,42016,2016-04-19,0,Andravida_GRE_004042016
19,19,Andravida_GRE_004,42016,2016-04-20,0,Andravida_GRE_004042016
20,20,Andravida_GRE_004,42016,2016-04-21,0,Andravida_GRE_004042016
21,21,Andravida_GRE_004,42016,2016-04-22,0,Andravida_GRE_004042016
22,22,Andravida_GRE_004,42016,2016-04-23,0,Andravida_GRE_004042016
23,23,Andravida_GRE_004,42016,2016-04-24,0,Andravida_GRE_004042016
24,24,Andravida_GRE_004,42016,2016-04-25,0,Andravida_GRE_004042016
25,25,Andravida_GRE_004,42016,2016-04-26,0,Andravida_GRE_004042016
26,26,Andravida_GRE_004,42016,2016-04-27,0,Andravida_GRE_004042016
27,27,Andravida_GRE_004,42016,2016-04-28,0,Andravida_GRE_004042016
28,28,Andravida_GRE_004,42016,2016-04-29,0,Andravida_GRE_004042016
29,29,Andravida_GRE_004,42016,2016-04-30,0,Andravida_GRE_004042016
30,30,Andravida_GRE_004,102016,2016-10-01,0,Andravida_GRE_004102016
31,31,Andravida_GRE_004,102016,2016-10-02,0,Andravida_GRE_004102016
32,32,Andravida_GRE_004,102016,2016-10-03,0,Andravida_GRE_004102016
33,33,Andravida_GRE_004,102016,2016-10-04,0,Andravida_GRE_004102016
34,34,Andravida_GRE_004,102016,2016-10-05,0,Andravida_GRE_004102016
35,35,Andravida_GRE_004,102016,2016-10-06,0,Andravida_GRE_004102016
36,36,Andravida_GRE_004,102016,2016-10-07,0,Andravida_GRE_004102016
37,37,Andravida_GRE_004,102016,2016-10-08,0,Andravida_GRE_004102016
38,38,Andravida_GRE_004,102016,2016-10-09,0,Andravida_GRE_004102016
39,39,Andravida_GRE_004,102016,2016-10-10,0,Andravida_GRE_004102016
40,40,Andravida_GRE_004,102016,2016-10-11,0,Andravida_GRE_004102016
41,41,Andravida_GRE_004,102016,2016-10-12,0,Andravida_GRE_004102016
42,42,Andravida_GRE_004,102016,2016-10-13,0,Andravida_GRE_004102016
