,Unnamed: 0,campfilename,monthyear,date,time,total_usage_kb,cmy
0,0,Andravida_GRE_004,42016,4/1/2016,0:00:00,0.0,Andravida_GRE_004042016
1,1,Andravida_GRE_004,42016,5/1/2016,0:00:00,0.0,Andravida_GRE_004042016
2,2,Andravida_GRE_004,102016,10/1/2016,0:00:00,0.0,Andravida_GRE_004102016
3,3,Andravida_GRE_004,102016,11/1/2016,0:00:00,0.0,Andravida_GRE_004102016
4,4,Drama_GRE_011,42016,4/1/2016,0:00:00,0.0,Drama_GRE_011042016
5,5,Drama_GRE_011,42016,5/1/2016,0:00:00,0.0,Drama_GRE_011042016
6,6,Eleonas_GRE_013 ,102016,10/1/2016,0:00:00,0.0,Eleonas_GRE_013 102016
7,7,Eleonas_GRE_013 ,102016,11/1/2016,0:00:00,0.0,Eleonas_GRE_013 102016
8,8,Eleonas_GRE_013,42016,4/1/2016,0:00:00,0.0,Eleonas_GRE_013042016
9,9,Eleonas_GRE_013,42016,5/1/2016,0:00:00,0.0,Eleonas_GRE_013042016
10,10,Kavala_GRE_024,102016,10/1/2016,0:00:00,0.0,Kavala_GRE_024102016
11,11,Kavala_GRE_024,102016,11/1/2016,0:00:00,0.0,Kavala_GRE_024102016
12,12,Koutsochero_GRE_028,42016,4/1/2016,0:00:00,0.0,Koutsochero_GRE_028042016
13,13,Koutsochero_GRE_028,42016,5/1/2016,0:00:00,0.0,Koutsochero_GRE_028042016
14,14,Lavrio-New_GRE_030,42016,4/1/2016,0:00:00,0.0,Lavrio-New_GRE_030042016
15,15,Lavrio-New_GRE_030,42016,5/1/2016,0:00:00,0.0,Lavrio-New_GRE_030042016
16,16,Leros-Lepida_GRE_032,102016,10/1/2016,0:00:00,0.0,Leros-Lepida_GRE_032102016
17,17,Leros-Lepida_GRE_032,102016,11/1/2016,0:00:00,0.0,Leros-Lepida_GRE_032102016
18,18,Moria_GRE_001,12017,1/1/2017,0:00:00,0.0,Moria_GRE_001012017
19,19,Moria_GRE_001,12017,2/1/2017,0:00:00,0.0,Moria_GRE_001012017
20,20,Moria_GRE_001,102016,10/1/2016,0:00:00,0.0,Moria_GRE_001102016
21,21,Moria_GRE_001,102016,11/1/2016,0:00:00,0.0,Moria_GRE_001102016
22,22,Rafina_GRE_039,102016,10/1/2016,0:00:00,0.0,Rafina_GRE_039102016
23,23,Rafina_GRE_039,102016,11/1/2016,0:00:00,0.0,Rafina_GRE_039102016
24,24,Ritsona_GRE_040,42016,4/1/2016,0:00:00,0.0,Ritsona_GRE_040042016
25,25,Ritsona_GRE_040,42016,5/1/2016,0:00:00,0.0,Ritsona_GRE_040042016
26,26,Ritsona_GRE_040,102016,10/1/2016,0:00:00,0.0,Ritsona_GRE_040102016
27,27,Ritsona_GRE_040,102016,11/1/2016,0:00:00,0.0,Ritsona_GRE_040102016
28,28,Skaramangas_GRE_014,42016,4/1/2016,0:00:00,0.0,Skaramangas_GRE_014042016
