,campfilename,monthyear,appcat,totalusagekb,usageperc,cmy
0,Adasevci_SRB_010,12018,Video,760645119,47,Adasevci_SRB_010012018
1,Adasevci_SRB_010,12018,Other,514896960,32,Adasevci_SRB_010012018
2,Adasevci_SRB_010,12018,Social web,306102192,19,Adasevci_SRB_010012018
3,Adasevci_SRB_010,12018,Music,13583101,0,Adasevci_SRB_010012018
4,Adasevci_SRB_010,12018,Email,2185162,0,Adasevci_SRB_010012018
5,Adasevci_SRB_010,12018,Advertising,1290770,0,Adasevci_SRB_010012018
6,Adasevci_SRB_010,12018,Software & anti-virus updates,1284491,0,Adasevci_SRB_010012018
7,Adasevci_SRB_010,12018,Productivity,914848,0,Adasevci_SRB_010012018
8,Adasevci_SRB_010,12018,File sharing,444878,0,Adasevci_SRB_010012018
9,Adasevci_SRB_010,12018,Blogging,278207,0,Adasevci_SRB_010012018
10,Adasevci_SRB_010,12018,VoIP & video conferencing,215716,0,Adasevci_SRB_010012018
11,Adasevci_SRB_010,12018,Photo sharing,211753,0,Adasevci_SRB_010012018
12,Adasevci_SRB_010,12018,News,164602,0,Adasevci_SRB_010012018
13,Adasevci_SRB_010,12018,P2P,134052,0,Adasevci_SRB_010012018
14,Adasevci_SRB_010,12018,Gaming,72124,0,Adasevci_SRB_010012018
15,Adasevci_SRB_010,12018,Online backup,59241,0,Adasevci_SRB_010012018
16,Adasevci_SRB_010,12018,Sports,55103,0,Adasevci_SRB_010012018
17,Adasevci_SRB_010,12018,Remote monitoring & management,23602,0,Adasevci_SRB_010012018
18,Adasevci_SRB_010,12018,Security,6698,0,Adasevci_SRB_010012018
19,Adasevci_SRB_010,12018,Web file sharing,5271,0,Adasevci_SRB_010012018
20,Adasevci_SRB_010,12018,Business management,1898,0,Adasevci_SRB_010012018
21,Adasevci_SRB_010,12018,Web payments,9,0,Adasevci_SRB_010012018
22,Adasevci_SRB_010,22018,Video,709817580,50,Adasevci_SRB_010022018
23,Adasevci_SRB_010,22018,Other,434846341,30,Adasevci_SRB_010022018
24,Adasevci_SRB_010,22018,Social web,235741705,16,Adasevci_SRB_010022018
25,Adasevci_SRB_010,22018,Music,11446309,0,Adasevci_SRB_010022018
26,Adasevci_SRB_010,22018,Software & anti-virus updates,3787482,0,Adasevci_SRB_010022018
27,Adasevci_SRB_010,22018,Advertising,2619020,0,Adasevci_SRB_010022018
28,Adasevci_SRB_010,22018,Email,2390962,0,Adasevci_SRB_010022018
29,Adasevci_SRB_010,22018,Productivity,1964616,0,Adasevci_SRB_010022018
30,Adasevci_SRB_010,22018,File sharing,554063,0,Adasevci_SRB_010022018
31,Adasevci_SRB_010,22018,Photo sharing,267331,0,Adasevci_SRB_010022018
32,Adasevci_SRB_010,22018,Blogging,237280,0,Adasevci_SRB_010022018
33,Adasevci_SRB_010,22018,VoIP & video conferencing,222714,0,Adasevci_SRB_010022018
34,Adasevci_SRB_010,22018,News,193377,0,Adasevci_SRB_010022018
35,Adasevci_SRB_010,22018,P2P,58053,0,Adasevci_SRB_010022018
36,Adasevci_SRB_010,22018,Sports,57153,0,Adasevci_SRB_010022018
37,Adasevci_SRB_010,22018,Gaming,53870,0,Adasevci_SRB_010022018
38,Adasevci_SRB_010,22018,Online backup,36830,0,Adasevci_SRB_010022018
39,Adasevci_SRB_010,22018,Security,18686,0,Adasevci_SRB_010022018
40,Adasevci_SRB_010,22018,Web payments,1753,0,Adasevci_SRB_010022018
41,Adasevci_SRB_010,22018,Remote monitoring & management,71,0,Adasevci_SRB_010022018
42,Adasevci_SRB_010,22018,Business management,11,0,Adasevci_SRB_010022018
43,Adasevci_SRB_010,22018,Cloud services,10,0,Adasevci_SRB_010022018
44,Adasevci_SRB_010,22018,Web file sharing,1,0,Adasevci_SRB_010022018
