,campfilename,monthyear,date,total_clients,cmy,dupc,total_usage_kb
0,Andravida_GRE_004,42016,4/1/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-01,2947.4700000000003
1,Andravida_GRE_004,42016,4/2/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-02,2933.4939999999997
2,Andravida_GRE_004,42016,4/3/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-03,3578.2909999999993
3,Andravida_GRE_004,42016,4/4/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-04,4334.745
4,Andravida_GRE_004,42016,4/5/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-05,4309.293000000001
5,Andravida_GRE_004,42016,4/6/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-06,4884.207
6,Andravida_GRE_004,42016,4/7/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-07,2593.216
7,Andravida_GRE_004,42016,4/8/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-08,2540.137
8,Andravida_GRE_004,42016,4/9/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-09,2503.662
9,Andravida_GRE_004,42016,4/10/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-10,2190.772
10,Andravida_GRE_004,42016,4/11/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-11,2290.337
11,Andravida_GRE_004,42016,4/12/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-12,1906.7350000000001
12,Andravida_GRE_004,42016,4/13/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-13,4344.924000000001
13,Andravida_GRE_004,42016,4/14/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-14,21418.245000000003
14,Andravida_GRE_004,42016,4/15/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-15,18338.200000000004
15,Andravida_GRE_004,42016,4/16/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-16,16686.85
16,Andravida_GRE_004,42016,4/17/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-17,15782.837
17,Andravida_GRE_004,42016,4/18/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-18,15691.306
18,Andravida_GRE_004,42016,4/19/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-19,15530.065999999999
19,Andravida_GRE_004,42016,4/20/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-20,3214.1759999999995
20,Andravida_GRE_004,42016,4/21/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-21,12942.613
21,Andravida_GRE_004,42016,4/22/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-22,34046.942
22,Andravida_GRE_004,42016,4/23/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-23,36777.721000000005
23,Andravida_GRE_004,42016,4/24/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-24,38805.03099999999
