,campfilename,monthyear,date,total_clients,cmy,dupc
0,Andravida_GRE_004,42016,4/1/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-01
1,Andravida_GRE_004,42016,4/2/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-02
2,Andravida_GRE_004,42016,4/3/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-03
3,Andravida_GRE_004,42016,4/4/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-04
4,Andravida_GRE_004,42016,4/5/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-05
5,Andravida_GRE_004,42016,4/6/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-06
6,Andravida_GRE_004,42016,4/7/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-07
7,Andravida_GRE_004,42016,4/8/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-08
8,Andravida_GRE_004,42016,4/9/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-09
9,Andravida_GRE_004,42016,4/10/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-10
10,Andravida_GRE_004,42016,4/11/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-11
11,Andravida_GRE_004,42016,4/12/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-12
12,Andravida_GRE_004,42016,4/13/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-13
13,Andravida_GRE_004,42016,4/14/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-14
14,Andravida_GRE_004,42016,4/15/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-15
15,Andravida_GRE_004,42016,4/16/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-16
16,Andravida_GRE_004,42016,4/17/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-17
17,Andravida_GRE_004,42016,4/18/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-18
18,Andravida_GRE_004,42016,4/19/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-19
19,Andravida_GRE_004,42016,4/20/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-20
20,Andravida_GRE_004,42016,4/21/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-21
21,Andravida_GRE_004,42016,4/22/2016,0,Andravida_GRE_004042016,Andravida_GRE_0042016-04-22
