,monthyear,campfilename,nationality,proportion,cmy
0,22018,Alexandria-Ref_GRE_003,Syrian,0.44,Alexandria-Ref_GRE_003022018
1,22018,Alexandria-Ref_GRE_003,Iraqi,0.25,Alexandria-Ref_GRE_003022018
2,22018,Alexandria-Ref_GRE_003,Pakistani,0.08,Alexandria-Ref_GRE_003022018
3,22018,Alexandria-Ref_GRE_003,Palestinian,0.04,Alexandria-Ref_GRE_003022018
4,22018,Diavata_GRE_008,Syrian,0.38,Diavata_GRE_008022018
5,22018,Diavata_GRE_008,Iraqi,0.24,Diavata_GRE_008022018
6,22018,Diavata_GRE_008,Iranian,0.05,Diavata_GRE_008022018
7,22018,Diavata_GRE_008,Afghan,0.26,Diavata_GRE_008022018
8,22018,XXDoliana_GRE_007,Syrian,0.7,XXDoliana_GRE_007022018
9,22018,XXDoliana_GRE_007,Yemeni,0.06,XXDoliana_GRE_007022018
10,22018,XXDoliana_GRE_007,Iranian,0.06,XXDoliana_GRE_007022018
11,22018,XXDoliana_GRE_007,Stateless,0.07,XXDoliana_GRE_007022018
12,22018,Eleonas_GRE_013,Syrian,0.29,Eleonas_GRE_013022018
13,22018,Eleonas_GRE_013,Yemeni,0.0,Eleonas_GRE_013022018
14,22018,Eleonas_GRE_013,Iraqi,0.06,Eleonas_GRE_013022018
15,22018,Eleonas_GRE_013,Congolese,0.0,Eleonas_GRE_013022018
16,22018,Eleonas_GRE_013,Eritrean,0.0,Eleonas_GRE_013022018
17,22018,Eleonas_GRE_013,Iranian,0.09,Eleonas_GRE_013022018
18,22018,Eleonas_GRE_013,Pakistani,0.05,Eleonas_GRE_013022018
19,22018,Eleonas_GRE_013,Palestinian,0.0,Eleonas_GRE_013022018
20,22018,Eleonas_GRE_013,Afghan,0.51,Eleonas_GRE_013022018
21,22018,Eleonas_GRE_013,Stateless,0.0,Eleonas_GRE_013022018
22,22018,Eleonas_GRE_013,Somali,0.0,Eleonas_GRE_013022018
23,22018,Eleonas_GRE_013,Kuwaiti,0.0,Eleonas_GRE_013022018
24,22018,Eleonas_GRE_013,Moroccan,0.0,Eleonas_GRE_013022018
25,22018,Eleonas_GRE_013,Egyptian,0.0,Eleonas_GRE_013022018
26,22018,Eleonas_GRE_013,Algerian,0.0,Eleonas_GRE_013022018
27,22018,XXFilipiada_GRE_019,Syrian,0.09,XXFilipiada_GRE_019022018
28,22018,XXFilipiada_GRE_019,Iraqi,0.4,XXFilipiada_GRE_019022018
29,22018,XXFilipiada_GRE_019,Iranian,0.07,XXFilipiada_GRE_019022018
30,22018,XXFilipiada_GRE_019,Afghan,0.42,XXFilipiada_GRE_019022018
31,22018,Kato-Milia_GRE_061,Syrian,0.64,Kato-Milia_GRE_061022018
32,22018,Kato-Milia_GRE_061,Iraqi,0.13,Kato-Milia_GRE_061022018
33,22018,Kato-Milia_GRE_061,Palestinian,0.06,Kato-Milia_GRE_061022018
34,22018,Kato-Milia_GRE_061,Afghan,0.12,Kato-Milia_GRE_061022018
35,22018,XXKonitsa_GRE_026,Syrian,1.0,XXKonitsa_GRE_026022018
36,22018,XXKonitsa_GRE_026,Yemeni,0.0,XXKonitsa_GRE_026022018
37,22018,XXKonitsa_GRE_026,Iraqi,0.0,XXKonitsa_GRE_026022018
38,22018,XXKonitsa_GRE_026,Congolese,0.0,XXKonitsa_GRE_026022018
39,22018,XXKonitsa_GRE_026,Eritrean,0.0,XXKonitsa_GRE_026022018
40,22018,XXKonitsa_GRE_026,Iranian,0.0,XXKonitsa_GRE_026022018
41,22018,XXKonitsa_GRE_026,Pakistani,0.0,XXKonitsa_GRE_026022018
42,22018,XXKonitsa_GRE_026,Palestinian,0.0,XXKonitsa_GRE_026022018
43,22018,XXKonitsa_GRE_026,Afghan,0.0,XXKonitsa_GRE_026022018
44,22018,XXKonitsa_GRE_026,Stateless,0.0,XXKonitsa_GRE_026022018
45,22018,XXKonitsa_GRE_026,Somali,0.0,XXKonitsa_GRE_026022018
46,22018,XXKonitsa_GRE_026,Kuwaiti,0.0,XXKonitsa_GRE_026022018
47,22018,XXKonitsa_GRE_026,Moroccan,0.0,XXKonitsa_GRE_026022018
48,22018,XXKonitsa_GRE_026,Egyptian,0.0,XXKonitsa_GRE_026022018
49,22018,XXKonitsa_GRE_026,Algerian,0.0,XXKonitsa_GRE_026022018
50,22018,Koutsochero_GRE_028,Syrian,0.55,Koutsochero_GRE_028022018
51,22018,Koutsochero_GRE_028,Iraqi,0.2,Koutsochero_GRE_028022018
52,22018,Koutsochero_GRE_028,Congolese,0.07,Koutsochero_GRE_028022018
53,22018,Koutsochero_GRE_028,Palestinian,0.03,Koutsochero_GRE_028022018
54,22018,Lagkadikia_GRE_029,Syrian,0.61,Lagkadikia_GRE_029022018
