,campfilename,monthyear,totalinfradevs,cmy,month,year
0,Adasevci_SRB_010,12018,1,Adasevci_SRB_010012018,1,2018
1,Adasevci_SRB_010,22018,1,Adasevci_SRB_010022018,2,2018
2,Adasevci_SRB_010,92018,1,Adasevci_SRB_010092018,9,2018
3,Adasevci_SRB_010,32018,1,Adasevci_SRB_010032018,3,2018
4,Alexandria-Ref_GRE_003,12017,5,Alexandria-Ref_GRE_003012017,1,2017
5,Alexandria-Ref_GRE_003,22018,5,Alexandria-Ref_GRE_003022018,2,2018
6,Alexandria-Ref_GRE_003,32018,5,Alexandria-Ref_GRE_003032018,3,2018
7,Alexandria-Ref_GRE_003,42016,5,Alexandria-Ref_GRE_003042016,4,2016
8,Alexandria-Ref_GRE_003,42018,4,Alexandria-Ref_GRE_003042018,4,2018
9,Alexandria-Ref_GRE_003,52018,4,Alexandria-Ref_GRE_003052018,5,2018
10,Alexandria-Ref_GRE_003,62017,6,Alexandria-Ref_GRE_003062017,6,2017
11,Alexandria-Ref_GRE_003,62018,4,Alexandria-Ref_GRE_003062018,6,2018
12,Alexandria-Ref_GRE_003,72018,4,Alexandria-Ref_GRE_003072018,7,2018
13,Alexandria-Ref_GRE_003,92018,4,Alexandria-Ref_GRE_003092018,9,2018
14,Alexandria-Ref_GRE_003,102016,4,Alexandria-Ref_GRE_003102016,10,2016
15,Andravida_GRE_004,12017,3,Andravida_GRE_004012017,1,2017
16,Andravida_GRE_004,32018,3,Andravida_GRE_004032018,3,2018
17,Andravida_GRE_004,52018,4,Andravida_GRE_004052018,5,2018
18,Andravida_GRE_004,62017,3,Andravida_GRE_004062017,6,2017
19,Andravida_GRE_004,62018,3,Andravida_GRE_004062018,6,2018
20,Andravida_GRE_004,72018,3,Andravida_GRE_004072018,7,2018
21,Andravida_GRE_004,92018,3,Andravida_GRE_004092018,9,2018
22,Andravida_GRE_004,42018,3,Andravida_GRE_004042018,4,2018
23,Bujanovac_SRB_001,12018,1,Bujanovac_SRB_001012018,1,2018
24,Bujanovac_SRB_001,22018,1,Bujanovac_SRB_001022018,2,2018
25,Bujanovac_SRB_001,32018,1,Bujanovac_SRB_001032018,3,2018
26,Bujanovac_SRB_001,92018,1,Bujanovac_SRB_001092018,9,2018
27,Diavata_GRE_008,12017,10,Diavata_GRE_008012017,1,2017
28,Diavata_GRE_008,22018,21,Diavata_GRE_008022018,2,2018
29,Diavata_GRE_008,32018,21,Diavata_GRE_008032018,3,2018
30,Diavata_GRE_008,42016,7,Diavata_GRE_008042016,4,2016
31,Diavata_GRE_008,42018,21,Diavata_GRE_008042018,4,2018
32,Diavata_GRE_008,52018,21,Diavata_GRE_008052018,5,2018
33,Diavata_GRE_008,62017,14,Diavata_GRE_008062017,6,2017
34,Diavata_GRE_008,62018,20,Diavata_GRE_008062018,6,2018
35,Diavata_GRE_008,72018,20,Diavata_GRE_008072018,7,2018
36,Diavata_GRE_008,92018,20,Diavata_GRE_008092018,9,2018
37,Diavata_GRE_008,102016,6,Diavata_GRE_008102016,10,2016
38,Divljana_SRB_002,12018,1,Divljana_SRB_002012018,1,2018
39,Divljana_SRB_002,22018,1,Divljana_SRB_002022018,2,2018
40,Divljana_SRB_002,32018,1,Divljana_SRB_002032018,3,2018
41,Divljana_SRB_002,92018,1,Divljana_SRB_002092018,9,2018
42,Drama_GRE_011,32018,7,Drama_GRE_011032018,3,2018
43,Drama_GRE_011,42018,7,Drama_GRE_011042018,4,2018
44,Drama_GRE_011,52018,7,Drama_GRE_011052018,5,2018
45,Drama_GRE_011,62018,6,Drama_GRE_011062018,6,2018
46,Drama_GRE_011,72018,6,Drama_GRE_011072018,7,2018
47,Drama_GRE_011,92018,6,Drama_GRE_011092018,9,2018
48,Drama_GRE_011,102016,3,Drama_GRE_011102016,10,2016
49,Eleonas_GRE_013,12017,7,Eleonas_GRE_013012017,1,2017
50,Eleonas_GRE_013,32018,8,Eleonas_GRE_013032018,3,2018
51,Eleonas_GRE_013,62018,11,Eleonas_GRE_013062018,6,2018
52,Eleonas_GRE_013,72018,9,Eleonas_GRE_013072018,7,2018
53,Eleonas_GRE_013,22018,8,Eleonas_GRE_013022018,2,2018
54,Eleonas_GRE_013,42018,9,Eleonas_GRE_013042018,4,2018
55,Eleonas_GRE_013,52018,10,Eleonas_GRE_013052018,5,2018
56,Eleonas_GRE_013,92018,10,Eleonas_GRE_013092018,9,2018
57,Kato-Milia_GRE_061,22018,9,Kato-Milia_GRE_061022018,2,2018
58,Kato-Milia_GRE_061,32018,9,Kato-Milia_GRE_061032018,3,2018
59,Kato-Milia_GRE_061,42018,9,Kato-Milia_GRE_061042018,4,2018
60,Kato-Milia_GRE_061,52018,9,Kato-Milia_GRE_061052018,5,2018
61,Kato-Milia_GRE_061,62018,9,Kato-Milia_GRE_061062018,6,2018
62,Kato-Milia_GRE_061,72018,9,Kato-Milia_GRE_061072018,7,2018
